Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,Year,Mark_Sec
1,1:40.91,,David RUDISHA,17 DEC 1988,KEN,1,,"Olympic Stadium, London (GBR)",2012-08-09,1301,2012,100.91
2,1:41.01,,David RUDISHA,17 DEC 1988,KEN,1f1,,"Stadio Guidobaldi, Rieti (ITA)",2010-08-29,1298,2010,101.00999999999999
3,1:41.09,,David RUDISHA,17 DEC 1988,KEN,1,,"Olympiastadion, Berlin (GER)",2010-08-22,1296,2010,101.09
4,1:41.11,,Wilson KIPKETER,12 DEC 1972,DEN,1,,Köln (GER),1997-08-24,1295,1997,101.11
5,1:41.24,,Wilson KIPKETER,12 DEC 1972,DEN,1f1,,Zürich (SUI),1997-08-13,1291,1997,101.24000000000001
6,1:41.33,,David RUDISHA,17 DEC 1988,KEN,1f1,,"Stadio Guidobaldi, Rieti (ITA)",2011-09-10,1288,2011,101.33
7,1:41.51,,David RUDISHA,17 DEC 1988,KEN,1f1,,Heusden-Zolder (BEL),2010-07-10,1282,2010,101.50999999999999
8,1:41.54,,David RUDISHA,17 DEC 1988,KEN,1,,"Stade de France, Paris-St-Denis (FRA)",2012-07-06,1281,2012,101.53999999999999
9,1:41.56,,Djamel SEDJATI,03 MAY 1999,ALG,1,,"Stade Charléty, Paris (FRA)",2024-07-07,1281,2024,101.56
10,1:41.58,,Emmanuel WANYONYI,01 AUG 2004,KEN,2,,"Stade Charléty, Paris (FRA)",2024-07-07,1280,2024,101.58
11,1:41.61,,Gabriel TUAL,09 APR 1998,FRA,3,,"Stade Charléty, Paris (FRA)",2024-07-07,1279,2024,101.61
12,1:41.70,,Emmanuel WANYONYI,01 AUG 2004,KEN,1,,"Nyayo National Stadium, Nairobi (KEN)",2024-06-15,1276,2024,101.7
13,1:41.73,,Sebastian COE,29 SEP 1956,GBR,1,,Firenze (ITA),1981-06-10,1275,1981,101.72999999999999
