Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,Year,Mark_Sec
1,1:53.28,,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,1,,München (GER),1983-07-26,1286,1983,113.28
2,1:53.43,,Nadezhda OLIZARENKO,28 NOV 1953,URS,1,,"Lenin Stadium, Moskva (URS)",1980-07-27,1283,1980,113.43
3,1:54.01,,Pamela JELIMO,05 DEC 1989,KEN,1,,"Letzigrund, Zürich (SUI)",2008-08-29,1272,2008,114.00999999999999
4,1:54.25,,Caster SEMENYA,07 JAN 1991,RSA,1,,"Stade Charléty, Paris (FRA)",2018-06-30,1267,2018,114.25
5,1:54.44,,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,,"Estadio Olímpico, Barcelona (ESP)",1989-09-09,1264,1989,114.44
6,1:54.60,,Caster SEMENYA,07 JAN 1991,RSA,1,,"Stade Louis II, Monaco (MON)",2018-07-20,1261,2018,114.6
7,1:54.68,,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,1,,"Olympiastadion, Helsinki (FIN)",1983-08-09,1259,1983,114.68
8,1:54.77,,Caster SEMENYA,07 JAN 1991,RSA,1,,Ostrava (CZE),2018-09-09,1258,2018,114.77000000000001
9,1:54.81,,Olga MINEYEVA,01 OCT 1952,URS,2,,"Lenin Stadium, Moskva (URS)",1980-07-27,1257,1980,114.81
10,1:54.82,,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,,Köln (GER),1997-08-24,1257,1997,114.82
11,1:54.85,,Nadezhda OLIZARENKO,28 NOV 1953,URS,1,,Moskva (URS),1980-06-12,1256,1980,114.85
12,1:54.87,,Pamela JELIMO,05 DEC 1989,KEN,1,,"National Stadium, Beijing (CHN)",2008-08-18,1256,2008,114.87
13,1:54.94,,Tatyana KAZANKINA,17 DEC 1951,URS,1,,"Olympic Stadium, Montréal (CAN)",1976-07-26,1254,1976,114.94
14,1:54.97,,Pamela JELIMO,05 DEC 1989,KEN,1,,"Stade de France, Paris-St-Denis (FRA)",2008-07-18,1254,2008,114.97
14,1:54.97,,Athing MU,08 JUN 2002,USA,1,,"Hayward Field, Eugene, OR (USA)",2023-09-17,1254,2023,114.97
16,1:54.98,,Caster SEMENYA,07 JAN 1991,RSA,1,,"Khalifa International Stadium, Doha (QAT)",2019-05-03,1254,2019,114.97999999999999
17,1:54.99,,Pamela JELIMO,05 DEC 1989,KEN,1,,"Olympiastadion, Berlin (GER)",2008-06-01,1254,2008,114.99000000000001
18,1:55.04,,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,1,,Oslo (NOR),1983-08-23,1253,1983,115.03999999999999
18,1:55.04,,Athing MU,08 JUN 2002,USA,1,,"Hayward Field, Eugene, OR (USA)",2021-08-21,1253,2021,115.03999999999999
20,1:55.05,,Doina MELINTE,27 DEC 1956,ROU,1,,Bucureşti (ROU),1982-08-01,1252,1982,115.05
21,1:55.16,,Pamela JELIMO,05 DEC 1989,KEN,1,,"Boudewijnstadion, Bruxelles (BEL)",2008-09-05,1250,2008,115.16
21,1:55.16,,Caster SEMENYA,07 JAN 1991,RSA,1,,"Olympic Stadium, London (GBR)",2017-08-13,1250,2017,115.16
23,1:55.19,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,Zürich (SUI),1994-08-17,1250,1994,115.19
23,1:55.19,,Jolanda ČEPLAK,12 SEP 1976,SLO,1,,Heusden-Zolder (BEL),2002-07-20,1250,2002,115.19
23,1:55.19,,Keely HODGKINSON,03 MAR 2002,GBR,2,,"Hayward Field, Eugene, OR (USA)",2023-09-17,1250,2023,115.19
26,1:55.21,,Athing MU,08 JUN 2002,USA,1,,"National Stadium, Tokyo (JPN)",2021-08-03,1249,2021,115.21000000000001
27,1:55.26,,Sigrun WODARS,07 NOV 1965,GDR,1,,"Stadio Olimpico, Roma (ITA)",1987-08-31,1249,1987,115.25999999999999
28,1:55.27,,Caster SEMENYA,07 JAN 1991,RSA,1,,"Stade Louis II, Monaco (MON)",2017-07-21,1248,2017,115.27000000000001
